Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Account,Account__c,Lookup(Account),Account,Account__c,Reference → Account,
Account Owner Conflict,Account_Owner_Conflict__c,Formula (Checkbox),Account Owner Conflict,Not found in org,—,
Account Regional Sales Manager,Account_Regional_Sales_Manager__c,Text(255),Account Regional Sales Manager,Account_Regional_Sales_Manager__c,Text,
Apr,Apr__c,Currency(16, 2),Apr,Apr__c,Currency,
Aug,Aug__c,Currency(16, 2),Aug,Aug__c,Currency,
Brand,Brand__c,Text(255),Brand,Brand__c,Text,
Brand Account Number,Brand_Account_Number__c,Text(80),Brand Account Number,Brand_Account_Number__c,Text,
Case Safe Id,Case_Safe_Id__c,Formula (Text),Case Safe Id,Case_Safe_Id__c,Text,
Created By,CreatedById,Lookup(User),Created By,CreatedById,Reference → User,
Dec,Dec__c,Currency(16, 2),Dec,Dec__c,Currency,
Dealer Account,Dealer_Account__c,Formula (Text),Dealer Account,Dealer_Account__c,Text,
Dealer Asset,Dealer_Asset__c,Master-Detail(Dealer Asset),Dealer Asset,Dealer_Asset__c,Reference → Dealer_Asset__c,
Feb,Feb__c,Currency(16, 2),Feb,Feb__c,Currency,
Jan,Jan__c,Currency(16, 2),Jan,Jan__c,Currency,
Jul,Jul__c,Currency(16, 2),Jul,Jul__c,Currency,
Jun,Jun__c,Currency(16, 2),Jun,Jun__c,Currency,
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Reference → User,
Mar,Mar__c,Currency(16, 2),Mar,Mar__c,Currency,
May,May__c,Currency(16, 2),May,May__c,Currency,
Nov,Nov__c,Currency(16, 2),Nov,Nov__c,Currency,
Oct,Oct__c,Currency(16, 2),Oct,Oct__c,Currency,
Revenue History Name,Name,Auto Number,Revenue History Name,Name,Text — Auto Name,
Revenue History Unique Id,Revenue_History_Unique_Id__c,Text(30) — External ID, Unique (Case Insensitive),Revenue History Unique Id,Revenue_History_Unique_Id__c,Text — Unique, External ID,
Sales YTD,Sales_YTD__c,Formula (Currency),Sales YTD,Sales_YTD__c,Currency,
Sep,Sep__c,Currency(16, 2),Sep,Sep__c,Currency,
Ship To,Ship_To__c,Text(20) — External ID,Ship To,Ship_To__c,Text — External ID,
Territory,Territory__c,Text(255),Territory,Territory__c,Text,
This Months Sales,This_Months_Sales__c,Formula (Currency),This Months Sales,This_Months_Sales__c,Currency,
Update Account Flag,Update_Account_Flag__c,Formula (Checkbox),Update Account Flag,Update_Account_Flag__c,Boolean (Checkbox),
Year,Year__c,Text(4),Year,Year__c,Text,
