Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Account Record Type,Account_Record_Type__c,Formula (Text),Account Record Type,(Not found — would be a cross-object formula or Account field),—,
Highest Quote Expiring Follow Up Task,Highest_Quote_Expiring_Email_Sent__c,Checkbox,Highest Quote Expiring Follow Up Task,(Not found),—,
Top 20 Opportunities,Top_20_Opportunities__c,Checkbox,Top 20 Opportunities,(Not found),—,
Expires (Days),Expires_Days__c,Formula (Number),Expires (Days),(Not found),—,
StatusCd,StatusCd__c,Number(18,0),StatusCd,(Not found),—,
Architect Contact,Architect_Contact__c,Lookup(Contact),Architect Contact,(Not found as "Architect Contact"),—,
Start Date,Start_Date__c,Date,Start Date,(Not found),—,
End Date,End_Date__c,Date,End Date,(Not found),—,
Builder,Builder__c,Lookup(Account),Builder,(Not found),—,
Outside Rep 1,Outside_Rep_1__c,Lookup(User),Outside Rep 1,(Not found),—,
Outside Rep 2,Outside_Rep_2__c,Lookup(User),Outside Rep 2,(Not found),—,
Inside Rep 1,Inside_Rep_1__c,Lookup(User),Inside Rep 1,(Not found),—,
Inside Rep 2,Inside_Rep_2__c,Lookup(User),Inside Rep 2,(Not found),—,
Arch Rep,Arch_Rep__c,Lookup(User),Arch Rep,(Not found),—,
Active/Inactive,Active_Inactive__c,Checkbox,Active/Inactive,(Not found),—,
Architect,Architect__c,Lookup(Account),Architect,Architect_Name__c,Text(255),
Opportunity Type,Opportunity_Type__c,Formula (Text),Opportunity Type (duplicate),Type,Picklist,
Hidden Current Yearly Budget,Hidden_Current_Yearly_Budget__c,Formula (Currency),Hidden Current Yearly Budget,(Not found),—,
Andrew's Checkbox,Andrew_s_Checkbox__c,Checkbox,Andrew's Checkbox,(Not found),—,
Backordered,Backordered__c,Checkbox,Backordered,(Not found),—,
Total Dealer QUOTE,Total_Dealer_QUOTE__c,Text(40),Total Dealer QUOTE,(Not found),—,
Division,Division__c,Picklist,Division,(Not found),—,
FSSR,FSSR__c,Lookup(User),FSSR,(Not found),—,
2 Week Follow Up,X2_week_follow_up__c,Checkbox,2 Week Follow Up,(Not found),—,
Close Date Month,Close_Date_Month__c,Formula (Number),Close Date Month,(Not found as stored field),—,
Is Current Month,Is_Current_Month__c,Formula (Checkbox),Is Current Month,(Not found),—,
Number of Lots,Number_of_Lots__c,Number(18,0),Number of Lots,(Not found as "Number of Lots"),—,
