Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Active,IsActive,Checkbox,Active,IsActive,Checkbox,
Actual Cost in Campaign,ActualCost,Currency(18,0),Actual Cost in Campaign,ActualCost,Currency(18, 0),
Actual Cost in Hierarchy,HierarchyActualCost,Currency(18,0),Actual Cost in Hierarchy,HierarchyActualCost,Currency(18, 0),
Brands,Brands__c,Picklist (Multi-Select)(4099),Brand,Brand__c,Picklist,
Budgeted Cost in Campaign,BudgetedCost,Currency(18,0),Budgeted Cost in Campaign,BudgetedCost,Currency(18, 0),
Budgeted Cost in Hierarchy,HierarchyBudgetedCost,Currency(18,0),Budgeted Cost in Hierarchy,HierarchyBudgetedCost,Currency(18, 0),
Business Unit,TenantId,Lookup(Business Unit / PardotTenant),Business Unit,TenantId,Lookup(Business Unit),
Campaign Image,CampaignImageId,Lookup(Content Document),Campaign Image,CampaignImageId,Lookup(Content Document),
Campaign Member Type,CampaignMemberRecordTypeId,Lookup(Record Type),Campaign Member Type,CampaignMemberRecordTypeId,Lookup(Record Type),
Campaign Monitor,wbsendit__Campaign_Monitor__c,Formula (Text),,,,
Campaign Monitor Id,wbsendit__Campaign_Monitor_Id__c,Text(255) — External ID,,,,
Campaign Name,Name,Text(80),Campaign Name,Name,Text(80),
Campaign Owner,OwnerId,Lookup(User),Campaign Owner,OwnerId,Lookup(User),
Campaign Stage,Stage,Picklist,Campaign Stage,Stage,Picklist,
Contacts in Campaign,NumberOfContacts,Number(9,0),Contacts in Campaign,NumberOfContacts,Number(9, 0),
Contacts in Hierarchy,HierarchyNumberOfContacts,Number(9,0),Contacts in Hierarchy,HierarchyNumberOfContacts,Number(9, 0),
Converted Leads in Campaign,NumberOfConvertedLeads,Number(9,0),Converted Leads in Campaign,NumberOfConvertedLeads,Number(9, 0),
Converted Leads in Hierarchy,HierarchyNumberOfConvertedLeads,Number(9,0),Converted Leads in Hierarchy,HierarchyNumberOfConvertedLeads,Number(9, 0),
Created By,CreatedById,Lookup(User),Created By,CreatedById,Lookup(User),
Description,Description,Long Text Area(32000),Description,Description,Long Text Area(32000),
Email Text Version,wbsendit__Email_Text_Version__c,URL(255),,,,
Email Web Version,wbsendit__Email_Web_Version__c,URL(255),,,,
End Date,EndDate,Date,End Date,EndDate,Date,
Expected Response (%),ExpectedResponse,Percent(8,2),Expected Response (%),ExpectedResponse,Percent(8, 2),
Expected Revenue in Campaign,ExpectedRevenue,Currency(18,0),Expected Revenue in Campaign,ExpectedRevenue,Currency(18, 0),
Expected Revenue in Hierarchy,HierarchyExpectedRevenue,Currency(18,0),Expected Revenue in Hierarchy,HierarchyExpectedRevenue,Currency(18, 0),
Focus Area,Focus_Area__c,Picklist,,,,
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Lookup(User),
Leads in Campaign,NumberOfLeads,Number(9,0),Leads in Campaign,NumberOfLeads,Number(9, 0),
Leads in Hierarchy,HierarchyNumberOfLeads,Number(9,0),Leads in Hierarchy,HierarchyNumberOfLeads,Number(9, 0),
Num Bounced,wbsendit__Num_Bounced__c,Number(18,0),—,—,—,
Num Clicks,wbsendit__Num_Clicks__c,Number(18,0),—,—,—,
Num Forwards,wbsendit__Num_Forwards__c,Number(18,0),—,—,—,
Num Likes,wbsendit__Num_Likes__c,Number(18,0),—,—,—,
Num Mentions,wbsendit__Num_Mentions__c,Number(18,0),—,—,—,
Num Opens,wbsendit__Num_Opens__c,Number(18,0),—,—,—,
Num Recipients,wbsendit__Num_Recipients__c,Number(18,0),—,—,—,
Num Sent in Campaign,NumberSent,Number(18,0),Num Sent in Campaign,NumberSent,Number(18, 0),
Num Sent in Hierarchy,HierarchyNumberSent,Number(18,0),Num Sent in Hierarchy,HierarchyNumberSent,Number(18, 0),
Num Spam Complaints,wbsendit__Num_Spam_Complaints__c,Number(18,0),—,—,—,
Num Unique Opens,wbsendit__Num_Unique_Opens__c,Number(18,0),—,—,—,
Num Unsubscribed,wbsendit__Num_Unsubscribed__c,Number(18,0),—,—,—,
Opportunities in Campaign,NumberOfOpportunities,Number(9,0),Opportunities in Campaign,NumberOfOpportunities,Number(9, 0),
Opportunities in Hierarchy,HierarchyNumberOfOpportunities,Number(9,0),Opportunities in Hierarchy,HierarchyNumberOfOpportunities,Number(9, 0),
Pardot Campaign Id,pi__Pardot_Campaign_Id__c,Text(10) — External ID, Unique (Case Insensitive),Pardot Campaign Id,pi__Pardot_Campaign_Id__c,Text(10),
Pardot Has Dependencies,pi__Pardot_Has_Dependencies__c,Checkbox,Pardot Has Dependencies,pi__Pardot_Has_Dependencies__c,Checkbox,
Parent Campaign,ParentId,Lookup(Campaign),Parent Campaign,ParentId,Lookup(Campaign),
Responses in Campaign,NumberOfResponses,Number(9,0),Responses in Campaign,NumberOfResponses,Number(9, 0),
Responses in Hierarchy,HierarchyNumberOfResponses,Number(9,0),Responses in Hierarchy,HierarchyNumberOfResponses,Number(9, 0),
Start Date,StartDate,Date,Start Date,StartDate,Date,
Status,Status,Picklist,Status,Status,Picklist,
Tags,wbsendit__Tags__c,Picklist (Multi-Select),—,—,—,
Total Emails Delivered,TotalEmailsDelivered,Number(9, 0),Total Emails Delivered in Campaign,TotalEmailsDelivered,Number(9, 0),
Total Emails Delivered in Hierarchy,HierarchyTotalEmailsDelivered,Number(9, 0),Total Emails Delivered in Hierarchy,HierarchyTotalEmailsDelivered,Number(9, 0),
Total Form Submissions,TotalFormSubmissions,Number(9, 0),Total Form Submissions in Campaign,TotalFormSubmissions,Number(9, 0),
Total Form Submissions in Hierarchy,HierarchyTotalFormSubmissions,Number(9, 0),Total Form Submissions in Hierarchy,HierarchyTotalFormSubmissions,Number(9, 0),
Total Form Views,TotalFormViews,Number(9, 0),Total Form Views in Campaign,TotalFormViews,Number(9, 0),
Total Form Views in Hierarchy,HierarchyTotalFormViews,Number(9, 0),Total Form Views in Hierarchy,HierarchyTotalFormViews,Number(9, 0),
Total Landing Page Form Submissions,TotalLandingPageFormSubmissions,Number(9, 0),Total Landing Page Form Submissions in Campaign,TotalLandingPageFormSubmissions,Number(9, 0),
Total Landing Page Form Submissions in Hierarchy,HierarchyTotalLandingPageFormSubmissions,Number(9, 0),Total Landing Page Form Submissions in Hierarchy,HierarchyTotalLandingPageFormSubmissions,Number(9, 0),
Total Landing Page Views,TotalLandingPageViews,Number(9, 0),Total Landing Page Views in Campaign,TotalLandingPageViews,Number(9, 0),
Total Landing Page Views in Hierarchy,HierarchyTotalLandingPageViews,Number(9, 0),Total Landing Page Views in Hierarchy,HierarchyTotalLandingPageViews,Number(9, 0),
Type,Type,Picklist,Type,Type,Picklist,
Unique Email Tracked Link Clicks,UniqueEmailTrackedLinkClicks,Number(9, 0),Unique Email Clicks in Campaign,UniqueEmailTrackedLinkClicks,Number(9, 0),
Unique Email Tracked Link Clicks in Hierarchy,HierarchyUniqueEmailTrackedLinkClicks,Number(9, 0),Unique Email Clicks in Hierarchy,HierarchyUniqueEmailTrackedLinkClicks,Number(9, 0),
Unique Email Opens,UniqueEmailOpens,Number(9, 0),Unique Email Opens in Campaign,UniqueEmailOpens,Number(9, 0),
Unique Email Opens in Hierarchy,HierarchyUniqueEmailOpens,Number(9, 0),Unique Email Opens in Hierarchy,HierarchyUniqueEmailOpens,Number(9, 0),
